Index,Index SubSeries,Source,GSE,Single Cell,Paired,Hand Processed,Mix bulk,Wanna understand better,Sample source name ch1,Cell Cycle,Cell Cycle Subtype,,Comment,% of zeros in data,Single cell In Info,Single In Info,Cell In Info,In Svensson SC list,,Phase Correlation,Cell count,Non zero genes count,Year,Sample organism ch1,Sample source name ch1,Sample status,Sample instrument model,Sample data processing,Sample extract protocol ch1,Sample library selection,Sample library source,Sample library strategy,Sample molecule ch1,Sample platform id,Sample submission date,Sample last update date,Single cell In Info,Single In Info,Cell In Info,In Svensson SC list,Phase Correlation,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals
0,0,ARCHS4v_,GSE118723,1,,,,,LCL-derived iPSC,Fast,"Some fraction of ""bad-dying"" cells below main part, bad - because high mt percent",,Fast cc modula excluding high mt,68.35,1,1,1,0,FALSE,0.62,7243,29136,2018,Homo sapiens,LCL-derived iPSC,Public on Sep 21 2018,Illumina HiSeq 2500,We used `umi_tools extract` (UMI-tools 0.5.3) to extract the 6 base pair unique molecular identifie,We collected cells using the C1 Single-Cell Auto Prep IFC microfluidic chip (Fluidigm).Xx-xXWe perf,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Aug 17 2018,Sep 21 2018,1,1,1,0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,ARCHS4v_,GSE76381,1,,1,,,ventral midbrain,FastAndFlatten,Mixture of subtypes,"When splitted by subtypes from GEO it does not look as kocherga some looks like triangels some like sausages, only one may slighly resemble kocherga",N318 - same GSE but for mouse,82.69,0,0,0,1,TRUE,0.83,3680,31410,2016,Homo sapiens,ventral midbrain,Public on Oct 06 2016,Illumina HiSeq 2000,"Read processing was performed as described (Islam et al., Nat Methods. 2014 Feb;11(2):163-6), excep",Human embryo ventral midbrain dissection was performed on ice in neuronal N2 culturing media. 10-17,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL11154,Aug 11 2016,Jan 18 2017,0,0,0,1,0.83,La manno et al Cell,10.1016/j.cell.2016.09.027,"Gioele La Manno, Daniel Gyllborg, Simone Codeluppi, Kaneyasu Nishimura, Carmen Salto, Amit Zeisel, Lars E. Borm, Simon R.W. Stott, Enrique M. Toledo, J. Carlos Villaescusa, Peter Lönnerberg, Jesper Ryge, Roger A. Barker, Ernest Arenas, Sten Linnarsson",Cell,"Molecular Diversity of Midbrain Development in Mouse, Human, and Stem Cells",20161006,-,"6,100","Human, Mouse",Brain,STRT-seq (C1),GSE76381,,RNA-seq,Ventral midbrain,,,,25,Yes,Yes,No,Yes,Yes,,,,
2,2,ARCHS4v_,GSE84465,1,,,,,Brain,Flatten,With very high G0 fraction,,Glioblastom Tumor vs non-Tumor,83.5,1,1,1,1,TRUE,0.74,3500,32321,2016,Homo sapiens,Brain,Public on Nov 01 2017,Illumina NextSeq 500,Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5-e,single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2Xx-xXSmart-Seq2,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL18573,Jul 20 2016,Nov 01 2017,1,1,1,1,0.74,Darmanis et al CReports,10.1016/j.celrep.2017.10.030,"Spyros Darmanis, Steven A. Sloan, Derek Croote, Marco Mignardi, Sophia Chernikova, Peyman Samghababi, Ye Zhang, Norma Neff, Mark Kowarsky, Christine Caneda, Gordon Li, Steven D. Chang, Ian David Connolly, Yingmei Li, Ben A. Barres, Melanie Hayden Gephart, Stephen R. Quake",Cell Reports,Single-Cell RNA-Seq Analysis of Infiltrating Neoplastic Cells at the Migrating Front of Human Glioblastoma,20171031,,"3,589",Human,Brain,Smart-seq2,GSE84465,,RNA-seq,Glioblastoma,Glioblastoma,Tumor vs non-Tumor,,,,,,,Yes,,,,
3,3,ARCHS4v_,GSE116672,1,,,,,blood (PBMCs),Flatten,With very high G0 fraction,,Blood cells from dengue virus infected human patients were subjected to virus-inclusive single cell RNA-Seq,88.75,1,1,1,0,FALSE,0.84,2661,29060,2018,Homo sapiens,blood (PBMCs),Public on Nov 19 2018,Illumina NextSeq 500,bcl2fastq demuxXx-xXSTAR mappingXx-xXHtseq-count 0.7+ gene countingXx-xXStampy virus mappingXx-xXCu,"No extraction, single cells are sorted into 0.4ul lysis bufferXx-xXCells are lysed in lysis buffer ",cDNA,transcriptomic,RNA-Seq,total RNA,GPL18573,Jul 05 2018,Nov 19 2018,1,1,1,0,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,ARCHS4v_,GSE86894Xx-xXGSE86977,1,11,0,,,cultured embryonic stem cells,FastAndFlatten,Mixture of subtypes,,"N11 is same super-series, but cc looks different.  Probably due to mix of subtypes which come from developement of stem to neuronsREGION-SPECIFIC NEURAL STEM CELL LINEAGES REVEALED BY SINGLE-CELL RNA-SEQ FROM HUMAN EMBRYONIC STEM CELLS",70.75,1,1,1,0,FALSE,0.9,2654,29251,2016,Homo sapiens,cultured embryonic stem cells,Public on Sep 30 2016,Illumina HiSeq 2500,"Reads  were  de-multiplexed  by  CelSeq  index,  allowing  for  one  sequence mismatch.Xx-xXThe  tr","To generate single cell suspensions, hESC-derived cultures were dissociated from plates using Accut",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Sep 15 2016,Sep 30 2016,1,1,1,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,ARCHS4v_,GSE81547,1,,,,,Pancreatic islet,G0,,,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,82.09,1,1,1,0,FALSE,0.61,2544,30990,2016,Homo sapiens,Pancreatic islet,Public on Sep 28 2017,Illumina NextSeq 500,"Sequencing reads were trimmed, adapter sequences removed and the reads aligned using STAR with defa","Single-cells were collected  in lysis buffer in 96-well plates, followed by reverse transcription w",cDNA,transcriptomic,RNA-Seq,total RNA,GPL18573,May 20 2016,Sep 28 2017,1,1,1,0,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,ARCHS4v_,GSE76312,1,,,,,Bone marrow,Flatten,With Rounding,,Single-cell transcriptomics uncovers distinct molecular signatures of stem cells in chronic myeloid leukemia,77.57,0,1,1,0,FALSE,0.84,2285,30586,2015,Homo sapiens,Bone marrow,Public on May 15 2017,Illumina HiSeq 2000,RNA-Seq:Short reads (51-bp) were aligned to the human genome (GRCh37 assembly (hg19)) using Tophat6,"From single FACS sorted cells, cDNA was generated according to Smart-seq2 protocolXx-xXIllumina seq",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL11154,Dec 23 2015,May 15 2017,0,1,1,0,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,ARCHS4v_,GSE106540Xx-xXGSE106544,1,,,,,Subject10_DENV negative_PBMC_TEMRA,G0,,,CD4 memory cell subsets by single-cell RNA-sequencing,86.24,1,1,1,0,FALSE,0.44,2234,28365,2017,Homo sapiens,Subject10_DENV negative_PBMC_TEMRA,Public on Jan 24 2018,Illumina HiSeq 2500,Single-cell RNAseq data were mapped against the human hg19 reference genome using TopHat (v1.4.1,"Single cell RNAseq was performed as described in Picelli et al.Nat Protoc. 2014, PMID:24385147. We ",cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Nov 05 2017,Jan 24 2018,1,1,1,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,ARCHS4v_,GSE110496,1,,,,,huh7,Triangle,,,huh7+dengue virus,73.52,1,1,1,0,FALSE,0.61,1868,26600,2018,Homo sapiens,huh7,Public on Feb 27 2018,Illumina NextSeq 500,bcl2fastq demuxXx-xXSTAR mappingXx-xXHtseq-count 0.7+ gene countingXx-xXStampy virus mappingXx-xXCu,"No extraction, single cells are sorted into 0.4ul lysis bufferXx-xXCells are lysed in lysis buffer ",cDNA,transcriptomic,RNA-Seq,total RNA,GPL18573,Feb 12 2018,Feb 27 2018,1,1,1,0,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,ARCHS4v_,GSE110154,1,,,,,12wks_fetal pancreas cell_acinar,Flatten,With very high G0 fraction,,single cells from primary human pancreas,82.81,1,1,1,0,FALSE,0.85,1860,30361,2018,Homo sapiens,12wks_fetal pancreas cell_acinar,Public on Jul 14 2019,Illumina NextSeq 500,"Sequencing reads were trimmed, adapter sequences removed and the reads aligned using STAR with defa","Single-cells were collected  in lysis buffer in 96-well plates, followed by reverse transcription w",cDNA,transcriptomic,RNA-Seq,total RNA,GPL18573,Feb 05 2018,Jul 14 2019,1,1,1,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
