Gene symbol,Count All BIOGRID Interactions,Gene name,Relation to ALS,Count Left Interactions,Count Right Interactions
UBC,128.0,,,47.0,81.0
SQSTM1,93.0,sequestosome 1,Moderate evidence,43.0,50.0
VCP,72.0,valosin containing protein,Definitive ALS gene,36.0,36.0
OPTN,68.0,optineurin,Definitive ALS gene,43.0,25.0
MAP1LC3A,62.0,,,37.0,25.0
EGFR,55.0,,,44.0,11.0
MAP1LC3B,55.0,,,39.0,16.0
TBK1,54.0,TANK binding kinase 1,Definitive ALS gene,25.0,29.0
PARK2,51.0,,,34.0,17.0
HSPA8,46.0,,,22.0,24.0
STUB1,46.0,,,22.0,24.0
TP53,46.0,,,28.0,18.0
HNRNPH1,45.0,,,26.0,19.0
CTNNB1,45.0,,,29.0,16.0
PARK7,44.0,Parkinsonism associated deglycase,Tenuous,21.0,23.0
NSFL1C,41.0,,,18.0,23.0
HSP90AA1,41.0,,,17.0,24.0
GSK3B,41.0,,,35.0,6.0
TRAF6,41.0,,,25.0,16.0
RXRA,40.0,,,19.0,21.0
HNRNPL,40.0,,,25.0,15.0
KEAP1,40.0,,,21.0,19.0
AMFR,40.0,,,27.0,13.0
UBXN6,39.0,,,19.0,20.0
TARDBP,39.0,TAR DNA binding protein,Definitive ALS gene,17.0,22.0
HDAC1,39.0,,,18.0,21.0
BRCA1,39.0,,,32.0,7.0
ATXN3,38.0,,,26.0,12.0
ELAVL1,38.0,,,26.0,12.0
NCOR1,38.0,,,15.0,23.0
HNRNPA1,37.0,heterogeneous nuclear ribonucleoprotein A1,Definitive ALS gene,19.0,18.0
PLEKHA4,37.0,,,37.0,0.0
HSPA5,37.0,,,15.0,22.0
MAPT,37.0,microtubule associated protein tau,Tenuous,19.0,18.0
NTRK1,37.0,,,34.0,3.0
UFD1L,36.0,,,11.0,25.0
KIAA1429,36.0,,,35.0,1.0
MYC,36.0,,,30.0,6.0
APP,36.0,,,18.0,18.0
SMN1,35.0,"survival of motor neuron 1, telomeric",Moderate evidence,21.0,14.0
RNF4,35.0,,,30.0,5.0
NCOR2,35.0,,,12.0,23.0
MDM2,35.0,,,20.0,15.0
ESR1,35.0,,,30.0,5.0
LMNA,35.0,,,24.0,11.0
UBQLN1,34.0,ubiquilin 1,Tenuous,17.0,17.0
TRAF2,33.0,,,15.0,18.0
AR,33.0,androgen receptor,Tenuous,15.0,18.0
FAF1,32.0,,,22.0,10.0
UBQLN2,32.0,ubiquilin 2,Definitive ALS gene,20.0,12.0
MATR3,32.0,matrin 3,Tenuous,17.0,15.0
HSPA4,31.0,,,9.0,22.0
FUS,31.0,FUS RNA binding protein,Definitive ALS gene,15.0,16.0
EP300,30.0,,,19.0,11.0
EWSR1,30.0,EWS RNA binding protein 1,Tenuous,17.0,13.0
TRIM25,30.0,,,28.0,2.0
YAP1,30.0,,,21.0,9.0
SOD1,30.0,superoxide dismutase 1,Definitive ALS gene,17.0,13.0
ESR2,29.0,,,29.0,0.0
YWHAZ,29.0,,,8.0,21.0
PINK1,28.0,,,20.0,8.0
SRC,28.0,,,12.0,16.0
HNRNPD,28.0,,,13.0,15.0
ASPSCR1,28.0,,,9.0,19.0
CUL3,28.0,,,24.0,4.0
AGR2,28.0,,,28.0,0.0
NPLOC4,28.0,,,6.0,22.0
TRAF3,26.0,,,16.0,10.0
CFTR,26.0,,,25.0,1.0
HDAC6,26.0,,,13.0,13.0
PABPC1,26.0,,,7.0,19.0
PHB,26.0,,,19.0,7.0
FAF2,26.0,,,18.0,8.0
CUL1,25.0,,,12.0,13.0
MOV10,25.0,,,13.0,12.0
HTT,25.0,,,12.0,13.0
AKT1,25.0,,,14.0,11.0
VHL,25.0,,,16.0,9.0
